scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
dependencies,215,1,0,0,0.14379868184541642,1,/appcenter-cli,@types/keyv,3.1.4
dependencies,1016,5,0,1,0.7367149758454107,29,/appcenter-cli,/cacheable-request,7.0.2
dependencies,0,1,0,0,0.1762820512820513,1,/appcenter-cli,/clone-response,1.0.3
dependencies,446,0,2,4,0.6833114323258871,7,/appcenter-cli,/keyv,4.3.3
dependencies,536,0,0,4,0.4693140794223827,4,/appcenter-cli,/compress-brotli,1.3.8
dependencies,1474,3,0,0,0.15122140364482356,4,/appcenter-cli,/decompress-response,6.0.0
dependencies,564,0,1,1,0.6572769953051644,2,/appcenter-cli,/http2-wrapper,2.1.11
dependencies,259,0,0,1,0.2960915909988156,1,/appcenter-cli,/registry-auth-token,5.0.1
dependencies,328,1,2,2,1.2403100775193798,10,/appcenter-cli,@pnpm/npm-conf,1.0.5
dependencies,0,0,0,0,0.2058319039451115,0,/appcenter-cli,/config-chain,1.1.13
dependencies,0,0,0,0,0.15368852459016394,0,/appcenter-cli,/registry-url,6.0.1
dependencies,0,0,0,0,0.6792452830188679,0,/appcenter-cli,/rc,1.2.8
dependencies,0,0,0,0,0.12302284710017575,0,/appcenter-cli,/pupa,3.1.0
dependencies,499,1,1,4,1.0034129692832765,9,/appcenter-cli,/webpack-cli,4.9.2
dependencies,495,1,0,2,0.4232230059685296,4,/appcenter-cli,@webpack-cli/info,1.4.1
dependencies,1113,4,3,0,0.5192307692307693,14,/appcenter-cli,/execa,5.1.1
dependencies,0,0,0,0,0.7513914656771801,0,/appcenter-cli,/cross-spawn,7.0.3
dependencies,0,0,0,0,0.08746355685131195,0,/appcenter-cli,/shebang-command,2.0.0
dependencies,1379,2,0,0,0.22474460839954596,3,/appcenter-cli,/which,2.0.2
dependencies,0,0,0,0,0.15817223198594024,0,/appcenter-cli,/import-local,3.1.0
dependencies,1627,4,0,0,0.11055276381909548,5,/appcenter-cli,/pkg-dir,4.2.0
dependencies,1613,3,0,0,0.15010006671114076,6,/appcenter-cli,/find-up,4.1.0
dependencies,1376,2,2,0,0.1453104359313078,5,/appcenter-cli,/locate-path,5.0.0
dependencies,874,2,0,0,0.12075905692926969,2,/appcenter-cli,/p-locate,4.1.0
dependencies,1554,4,1,0,0.19169329073482427,8,/appcenter-cli,/p-limit,2.3.0
dependencies,0,0,0,0,0.07258064516129031,0,/appcenter-cli,/resolve-cwd,3.0.0
dependencies,3,0,1,0,0.14541387024608501,1,/appcenter-cli,/rechoir,0.7.1
dependencies,626,0,0,8,0.5937291527685123,8,/appcenter-cli,/resolve,1.22.0
dependencies,1120,1,0,1,0.8108108108108109,4,/appcenter-cli,/webpack-merge,5.8.0
dependencies,0,0,0,0,0.3176704169424222,0,/appcenter-cli,/clone-deep,4.0.1
dependencies,1155,3,0,0,0.17898118402937124,6,/appcenter-cli,/is-plain-object,2.0.4
dependencies,0,0,0,0,0.47462096242584045,0,/appcenter-cli,/xcode,3.0.1
dependencies,101,0,1,0,0.15927545284197375,1,/appcenter-cli,/simple-plist,1.3.1
dependencies,108,0,1,2,0.3415941058271935,3,/appcenter-cli,/xml2js,0.5.0
dependencies,0,0,0,0,0.42912873862158646,0,/appcenter-cli,/yazl,2.5.1
dependencies,411,0,2,2,0.6422836752899197,5,/appcenter-cli,@azure/core-client,1.7.2
dependencies,461,0,6,2,0.8910891089108911,12,/appcenter-cli,@azure/core-rest-pipeline,1.10.3
dependencies,875,2,0,2,0.19369834710743802,7,/appcenter-cli,/http-proxy-agent,5.0.0
dependencies,0,0,0,0,1.0947616244849911,0,/appcenter-cli,@azure/ms-rest-js,2.7.0
dependencies,417,0,5,0,0.4534005037783375,5,/appcenter-cli,@azure/storage-blob,12.14.0
dependencies,216,0,0,3,0.7926829268292682,3,/appcenter-cli,@azure/core-http,3.0.1
dependencies,1096,0,1,63,0.20242914979757085,101,/appcenter-cli,@azure/core-tracing,1.0.0-preview.13
dependencies,-165,1,0,3,0.5949320602276901,14,/appcenter-cli,@types/node-fetch,2.6.1
devDependencies,2531,1,0,0,0.2088010776829816,2,/appcenter-cli,/chai-as-promised,7.1.1
devDependencies,1153,1,1,1,0.588494599955918,13,/appcenter-cli,/chai,4.3.4
devDependencies,2461,2,0,2,0.1763803680981595,10,/appcenter-cli,/deep-eql,3.0.1
devDependencies,1189,2,2,0,0.4177354342249908,12,/appcenter-cli,/eslint-plugin-prettier,3.4.0
devDependencies,0,0,0,0,0.0,0,/appcenter-cli,/prettier-linter-helpers,1.0.0
devDependencies,2558,2,0,1,0.13405681455473986,9,/appcenter-cli,/eslint-plugin-security,1.4.0
devDependencies,1677,1,1,1,0.11785246617197731,5,/appcenter-cli,/safe-regex,1.1.0
devDependencies,1077,2,7,0,2.354694485842027,70,/appcenter-cli,/eslint,7.32.0
devDependencies,1267,0,8,3,0.3415559772296015,16,/appcenter-cli,@babel/code-frame,7.12.11
devDependencies,867,0,5,4,0.4127134724857685,13,/appcenter-cli,@babel/highlight,7.16.10
devDependencies,1635,3,3,0,0.29858999170583356,12,/appcenter-cli,/chalk,2.4.2
devDependencies,1685,3,2,1,0.24114319738017267,13,/appcenter-cli,/ansi-styles,3.2.1
devDependencies,356,1,0,1,0.35093582887700536,2,/appcenter-cli,/color-convert,1.9.3
devDependencies,1773,4,4,0,0.4544077552256892,19,/appcenter-cli,/supports-color,5.5.0
devDependencies,1034,3,1,0,0.947136563876652,30,/appcenter-cli,@eslint/eslintrc,0.4.3
devDependencies,1371,2,17,0,2.8009606724707297,43,/appcenter-cli,/ajv,6.12.6
devDependencies,0,0,0,0,0.13027295285359802,0,/appcenter-cli,/uri-js,4.4.1
devDependencies,805,0,0,1,0.47295817823516534,1,/appcenter-cli,/debug,4.3.4
devDependencies,1290,3,1,0,0.7497845446710716,18,/appcenter-cli,/espree,7.3.1
devDependencies,839,2,8,0,0.9036613866528174,21,/appcenter-cli,/globals,13.13.0
devDependencies,0,0,0,0,0.16042780748663102,0,/appcenter-cli,/import-fresh,3.3.0
devDependencies,1630,2,1,0,0.06449301325689717,3,/appcenter-cli,/parent-module,1.0.1
devDependencies,128,1,1,0,0.6259055346276442,2,/appcenter-cli,/js-yaml,3.14.1
devDependencies,925,1,0,1,0.29742233972240584,2,/appcenter-cli,/argparse,1.0.10
devDependencies,874,7,0,1,0.6960556844547564,62,/appcenter-cli,/minimatch,3.1.2
devDependencies,2208,3,0,0,0.15047518479408659,4,/appcenter-cli,/brace-expansion,1.1.11
devDependencies,1100,0,8,0,0.8229426433915211,35,/appcenter-cli,@humanwhocodes/config-array,0.5.0
devDependencies,698,1,3,0,0.29858999170583356,7,/appcenter-cli,/chalk,4.1.2
devDependencies,737,2,2,1,0.24114319738017267,8,/appcenter-cli,/ansi-styles,4.3.0
devDependencies,0,0,0,0,0.35093582887700536,0,/appcenter-cli,/color-convert,2.0.1
devDependencies,1034,2,4,0,0.4544077552256892,14,/appcenter-cli,/supports-color,7.2.0
devDependencies,0,0,0,0,0.7513914656771801,0,/appcenter-cli,/cross-spawn,7.0.3
devDependencies,0,0,0,0,0.08746355685131195,0,/appcenter-cli,/shebang-command,2.0.0
devDependencies,1379,2,0,0,0.22474460839954596,3,/appcenter-cli,/which,2.0.2
devDependencies,0,0,0,0,0.41701769165964614,0,/appcenter-cli,/doctrine,3.0.0
devDependencies,1120,0,1,1,0.43856183326748327,2,/appcenter-cli,/enquirer,2.3.6
devDependencies,1399,3,0,2,0.2244668911335578,10,/appcenter-cli,/eslint-scope,5.1.1
devDependencies,0,0,0,0,0.18580276322058123,0,/appcenter-cli,/esrecurse,4.3.0
devDependencies,1189,3,0,0,0.16908929101156928,5,/appcenter-cli,/file-entry-cache,6.0.1
devDependencies,1293,2,0,0,0.2577777777777778,6,/appcenter-cli,/flat-cache,3.0.4
devDependencies,1613,3,0,1,0.49581718016731274,30,/appcenter-cli,/rimraf,3.0.2
devDependencies,1019,4,0,0,0.9380710659898478,54,/appcenter-cli,/glob,7.2.0
devDependencies,0,0,0,0,0.23542600896860985,0,/appcenter-cli,/inflight,1.0.6
devDependencies,0,0,0,0,0.14150943396226415,0,/appcenter-cli,/once,1.4.0
devDependencies,207,1,0,2,0.19575856443719414,3,/appcenter-cli,/glob-parent,5.1.2
devDependencies,0,0,0,0,0.19378280177634236,0,/appcenter-cli,/is-glob,4.0.3
devDependencies,0,0,0,0,0.12642225031605564,0,/appcenter-cli,/levn,0.4.1
devDependencies,1483,0,0,3,0.15673981191222572,3,/appcenter-cli,/optionator,0.9.1
