scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
dependencies,1773,4,4,0,0.4544077552256892,19,/bhima,/supports-color,5.5.0
dependencies,0,0,0,0,0.4669260700389105,0,/bhima,/error-ex,1.3.2
dependencies,20,0,1,1,3.0996309963099633,2,/bhima,/puppeteer-core,22.12.1
dependencies,82,0,0,1,2.5294117647058822,1,/bhima,@puppeteer/browsers,2.2.3
dependencies,0,0,0,0,0.3491755577109602,0,/bhima,/extract-zip,2.0.1
dependencies,1314,4,0,1,0.21456436931079323,8,/bhima,/get-stream,5.2.0
dependencies,2117,1,1,3,0.25510204081632654,5,/bhima,/yauzl,2.10.0
dependencies,0,0,0,0,0.2575107296137339,0,/bhima,/fd-slicer,1.1.0
dependencies,0,0,0,0,0.10101010101010101,0,/bhima,@types/yauzl,2.10.3
dependencies,11,0,0,1,18.89876880984952,1,/bhima,@types/node,20.14.10
dependencies,0,0,0,0,0.2248995983935743,0,/bhima,/proxy-agent,6.4.0
dependencies,0,0,0,0,0.1885310290652003,0,/bhima,/pac-proxy-agent,7.0.2
dependencies,0,0,0,0,0.17110266159695817,0,/bhima,/get-uri,6.0.3
dependencies,0,0,0,0,0.6554392353208921,0,/bhima,/fs-extra,11.2.0
dependencies,0,0,0,0,0.25235531628532976,0,/bhima,/jsonfile,6.1.0
dependencies,0,0,0,0,0.20182992465016147,0,/bhima,/pac-resolver,7.0.1
dependencies,0,0,0,0,0.23924807747080604,0,/bhima,/degenerator,5.0.1
dependencies,842,0,3,1,1.465909090909091,8,/bhima,/ast-types,0.13.4
dependencies,0,0,0,0,0.4353083434099153,0,/bhima,/escodegen,2.1.0
dependencies,0,0,0,0,0.21728271728271728,0,/bhima,/socks-proxy-agent,8.0.4
dependencies,0,0,0,0,0.35372144436256453,0,/bhima,/socks,2.8.3
dependencies,0,0,0,0,0.45024469820554647,0,/bhima,/ip-address,9.0.5
dependencies,77,0,0,1,0.49219370203757606,1,/bhima,/tar-fs,3.0.5
dependencies,0,0,0,0,0.5133079847908745,0,/bhima,/tar-stream,3.1.7
dependencies,0,0,0,0,0.5198685389901404,0,/bhima,/streamx,2.18.0
dependencies,0,0,0,0,2.9765013054830285,0,/bhima,/bare-fs,2.3.1
dependencies,0,0,0,0,0.8042895442359249,0,/bhima,/bare-path,2.1.3
dependencies,0,0,0,0,0.3856041131105399,0,/bhima,/unbzip2-stream,1.4.3
dependencies,18,1,0,3,1.161290322580645,4,/bhima,/buffer,5.7.1
dependencies,0,0,0,0,1.5339918651946542,0,/bhima,/yargs,17.7.2
dependencies,162,0,0,3,0.6485825005098919,3,/bhima,/semver,7.6.0
dependencies,1458,5,0,0,0.8920286798819064,89,/bhima,/lru-cache,6.0.0
dependencies,24,0,1,1,2.3076923076923075,2,/bhima,/chromium-bidi,0.5.24
devDependencies,29,1,0,0,0.2088010776829816,1,/bhima,/chai-as-promised,7.1.2
devDependencies,224,1,1,1,0.07251381215469613,3,/bhima,/check-error,1.0.3
devDependencies,0,0,0,0,0.14033825116948542,0,/bhima,/chai-datetime,1.8.0
devDependencies,0,0,0,0,0.588494599955918,0,/bhima,/chai,5.1.1
devDependencies,364,1,0,0,0.10733452593917711,1,/bhima,/chai-http,4.4.0
devDependencies,959,1,0,7,0.7055107055107055,19,/bhima,@types/superagent,4.1.13
devDependencies,11,0,0,1,18.89876880984952,1,/bhima,@types/node,20.14.10
devDependencies,2399,3,0,1,0.06451612903225806,5,/bhima,/is-ip,2.0.0
devDependencies,0,0,0,0,0.6852947175198858,0,/bhima,/qs,6.12.3
devDependencies,0,0,0,0,0.11612903225806452,0,/bhima,/side-channel,1.0.6
devDependencies,0,0,0,0,0.2,0,/bhima,/call-bind,1.0.7
devDependencies,0,0,0,0,0.0,0,/bhima,/es-define-property,1.0.0
devDependencies,0,0,0,0,0.30176026823134955,0,/bhima,/get-intrinsic,1.2.4
devDependencies,0,0,0,0,1.4189189189189189,0,/bhima,/set-function-length,1.2.2
devDependencies,0,0,0,0,1.3725490196078431,0,/bhima,/define-data-property,1.1.4
devDependencies,257,1,0,2,0.9971940427368875,3,/bhima,/superagent,8.1.2
devDependencies,0,0,0,0,0.47295817823516534,0,/bhima,/debug,4.3.5
devDependencies,0,0,0,0,0.277855739545327,0,/bhima,/form-data,4.0.0
